Probability of Developing Cancer
By Cancer Site
All Ages  All Races  Male
2013-2015 

"Cancer Site","Cancer Free Age","Probability of Developing Cancer (%) by Age","Risk"
"Testis","Age 5","Age <br/>50",0.340
"Testis","Age 5","Age <br/>55",0.361
"Testis","Age 5","Age <br/>60",0.375
"Testis","Age 5","Age <br/>65",0.385
"Testis","Age 5","Age <br/>70",0.392
"Testis","Age 5","Age <br/>75",0.396
"Testis","Age 5","Age <br/>80",0.399
"Testis","Age 5","Age <br/>85",0.401
"Testis","Age 5","Age <br/>90",0.402
"Testis","Age 5","Age <br/>95",0.402
"Testis","Age 5","Age <br/>95+",0.402
"Testis","Age 10","Age <br/>5",
"Testis","Age 10","Age <br/>10",
"Testis","Age 10","Age <br/>15",0.003
"Testis","Age 10","Age <br/>20",0.024
"Testis","Age 10","Age <br/>25",0.075
"Testis","Age 10","Age <br/>30",0.145
"Testis","Age 10","Age <br/>35",0.214
"Testis","Age 10","Age <br/>40",0.271
"Testis","Age 10","Age <br/>45",0.310
"Testis","Age 10","Age <br/>50",0.340
"Testis","Age 10","Age <br/>55",0.361
"Testis","Age 10","Age <br/>60",0.375
"Testis","Age 10","Age <br/>65",0.385
"Testis","Age 10","Age <br/>70",0.392
"Testis","Age 10","Age <br/>75",0.396
"Testis","Age 10","Age <br/>80",0.398
"Testis","Age 10","Age <br/>85",0.401
"Testis","Age 10","Age <br/>90",0.401
"Testis","Age 10","Age <br/>95",0.402
"Testis","Age 10","Age <br/>95+",0.402
"Testis","Age 15","Age <br/>5",
"Testis","Age 15","Age <br/>10",
"Testis","Age 15","Age <br/>15",
"Testis","Age 15","Age <br/>20",0.021
"Testis","Age 15","Age <br/>25",0.072
"Testis","Age 15","Age <br/>30",0.142
"Testis","Age 15","Age <br/>35",0.211
"Testis","Age 15","Age <br/>40",0.268
"Testis","Age 15","Age <br/>45",0.307
"Testis","Age 15","Age <br/>50",0.337
"Testis","Age 15","Age <br/>55",0.358
"Testis","Age 15","Age <br/>60",0.372
"Testis","Age 15","Age <br/>65",0.382
"Testis","Age 15","Age <br/>70",0.389
"Testis","Age 15","Age <br/>75",0.393
"Testis","Age 15","Age <br/>80",0.396
"Testis","Age 15","Age <br/>85",0.398
"Testis","Age 15","Age <br/>90",0.399
"Testis","Age 15","Age <br/>95",0.400
"Testis","Age 15","Age <br/>95+",0.400
"Testis","Age 20","Age <br/>5",
"Testis","Age 20","Age <br/>10",
"Testis","Age 20","Age <br/>15",
"Testis","Age 20","Age <br/>20",
"Testis","Age 20","Age <br/>25",0.051
"Testis","Age 20","Age <br/>30",0.121
"Testis","Age 20","Age <br/>35",0.190
"Testis","Age 20","Age <br/>40",0.248
"Testis","Age 20","Age <br/>45",0.287
"Testis","Age 20","Age <br/>50",0.317
"Testis","Age 20","Age <br/>55",0.338
"Testis","Age 20","Age <br/>60",0.352
"Testis","Age 20","Age <br/>65",0.362
"Testis","Age 20","Age <br/>70",0.369
"Testis","Age 20","Age <br/>75",0.373
"Testis","Age 20","Age <br/>80",0.376
"Testis","Age 20","Age <br/>85",0.378
"Testis","Age 20","Age <br/>90",0.379
"Testis","Age 20","Age <br/>95",0.380
"Testis","Age 20","Age <br/>95+",0.380
"Testis","Age 25","Age <br/>5",
"Testis","Age 25","Age <br/>10",
"Testis","Age 25","Age <br/>15",
"Testis","Age 25","Age <br/>20",
"Testis","Age 25","Age <br/>25",
"Testis","Age 25","Age <br/>30",0.071
"Testis","Age 25","Age <br/>35",0.141
"Testis","Age 25","Age <br/>40",0.198
"Testis","Age 25","Age <br/>45",0.238
"Testis","Age 25","Age <br/>50",0.268
"Testis","Age 25","Age <br/>55",0.289
"Testis","Age 25","Age <br/>60",0.304
"Testis","Age 25","Age <br/>65",0.314
"Testis","Age 25","Age <br/>70",0.321
"Testis","Age 25","Age <br/>75",0.325
"Testis","Age 25","Age <br/>80",0.327
"Testis","Age 25","Age <br/>85",0.329
"Testis","Age 25","Age <br/>90",0.330
"Testis","Age 25","Age <br/>95",0.331
"Testis","Age 25","Age <br/>95+",0.331
"Testis","Age 30","Age <br/>5",
"Testis","Age 30","Age <br/>10",
"Testis","Age 30","Age <br/>15",
"Testis","Age 30","Age <br/>20",
"Testis","Age 30","Age <br/>25",
"Testis","Age 30","Age <br/>30",
"Testis","Age 30","Age <br/>35",0.070
"Testis","Age 30","Age <br/>40",0.128
"Testis","Age 30","Age <br/>45",0.168
"Testis","Age 30","Age <br/>50",0.199
"Testis","Age 30","Age <br/>55",0.220
"Testis","Age 30","Age <br/>60",0.235
"Testis","Age 30","Age <br/>65",0.245
"Testis","Age 30","Age <br/>70",0.252
"Testis","Age 30","Age <br/>75",0.256
"Testis","Age 30","Age <br/>80",0.258
"Testis","Age 30","Age <br/>85",0.261
"Testis","Age 30","Age <br/>90",0.261
"Testis","Age 30","Age <br/>95",0.262
"Testis","Age 30","Age <br/>95+",0.262
"Testis","Age 35","Age <br/>5",
"Testis","Age 35","Age <br/>10",
"Testis","Age 35","Age <br/>15",
"Testis","Age 35","Age <br/>20",
"Testis","Age 35","Age <br/>25",
"Testis","Age 35","Age <br/>30",
"Testis","Age 35","Age <br/>35",
"Testis","Age 35","Age <br/>40",0.059
"Testis","Age 35","Age <br/>45",0.099
"Testis","Age 35","Age <br/>50",0.130
"Testis","Age 35","Age <br/>55",0.151
"Testis","Age 35","Age <br/>60",0.166
"Testis","Age 35","Age <br/>65",0.176
"Testis","Age 35","Age <br/>70",0.183
"Testis","Age 35","Age <br/>75",0.187
"Testis","Age 35","Age <br/>80",0.189
"Testis","Age 35","Age <br/>85",0.192
"Testis","Age 35","Age <br/>90",0.193
"Testis","Age 35","Age <br/>95",0.194
"Testis","Age 35","Age <br/>95+",0.194
"Testis","Age 40","Age <br/>5",
"Testis","Age 40","Age <br/>10",
"Testis","Age 40","Age <br/>15",
"Testis","Age 40","Age <br/>20",
"Testis","Age 40","Age <br/>25",
"Testis","Age 40","Age <br/>30",
"Testis","Age 40","Age <br/>35",
"Testis","Age 40","Age <br/>40",
"Testis","Age 40","Age <br/>45",0.041
"Testis","Age 40","Age <br/>50",0.072
"Testis","Age 40","Age <br/>55",0.093
"Testis","Age 40","Age <br/>60",0.108
"Testis","Age 40","Age <br/>65",0.118
"Testis","Age 40","Age <br/>70",0.125
"Testis","Age 40","Age <br/>75",0.130
"Testis","Age 40","Age <br/>80",0.132
"Testis","Age 40","Age <br/>85",0.134
"Testis","Age 40","Age <br/>90",0.135
"Testis","Age 40","Age <br/>95",0.136
"Testis","Age 40","Age <br/>95+",0.136
"Testis","Age 45","Age <br/>5",
"Testis","Age 45","Age <br/>10",
"Testis","Age 45","Age <br/>15",
"Testis","Age 45","Age <br/>20",
"Testis","Age 45","Age <br/>25",
"Testis","Age 45","Age <br/>30",
"Testis","Age 45","Age <br/>35",
"Testis","Age 45","Age <br/>40",
"Testis","Age 45","Age <br/>45",
"Testis","Age 45","Age <br/>50",0.032
"Testis","Age 45","Age <br/>55",0.053
"Testis","Age 45","Age <br/>60",0.069
"Testis","Age 45","Age <br/>65",0.079
"Testis","Age 45","Age <br/>70",0.086
"Testis","Age 45","Age <br/>75",0.090
"Testis","Age 45","Age <br/>80",0.093
"Testis","Age 45","Age <br/>85",0.095
"Testis","Age 45","Age <br/>90",0.096
"Testis","Age 45","Age <br/>95",0.097
